StackOverflow Post link,Comment,Viral,Kosta,Note,Kosta Note
,"Tom Scott also has a video on leap seconds @BenC.R.Leggiero: youtube.com/watch?v=Uqjg8Kk1HXo. (This one is from Tom Scott's own YouTube channel, not from Computerphile.) – TRiG Jul 3 '15 at 16:24",5,5,,
,"@Jon Skeet, I am not able to understand the difference. You have both times from the same time zone, if you add or subtract time to a time zone, both times must get affected. Then difference should be only one second. Can you please explain with numbers? – Gibbs Sep 13 '15 at 17:10",7,,,
,"@GopsAB: What do you mean by ""both times from the same time zone""? Ignore Shanghai for the moment - do you live in a time zone that observes daylight saving time? If so, what time does it change? That's a good way of seeing local time change by a different amount from UTC...] – Jon Skeet Sep 13 '15 at 17:13",7,,,
,"@JonSkeet Yes, I meant time1 and time2 in the program are from the same time zone. Isn't? – Gibbs Sep 14 '15 at 6:32",7,,,
,"@GopsAB: Yes, but I don't think that means what you think it means. ""Same time zone"" doesn't mean ""same UTC offset"". For example, I'm in the time zone identified as ""Europe/London"". Once a year, our local time jumps forward by an hour. Once a year, our local time falls back by an hour. In both cases, two universal times which are one second apart end up having local times which are much more than a second apart. – Jon Skeet Sep 14 '15 at 7:15",7,,,
,"@GopsAB: It's not true for local times, because local times go forward or back quite often, usually due to DST. Again - do you live in a culture with daylight saving time? And what do you mean by ""both times will get changed""? It's really not clear what's confusing you. – Jon Skeet Sep 17 '15 at 15:09",7,,,
,"I am from India, No DST used in India. What I understood the implementation is something like an array structure, where reducing all the elements by a time will not change the arithmetic operations. To be more clear, a = [1,2,3,4,5], a[1]-a[2] is 1. reduce a by 1,a will be [0,1,2,3,4] , again a[1]-a[0] gives the same answer. I hope it clears my understanding. – Gibbs Sep 17 '15 at 15:24",7,,,
https://stackoverflow.com/a/38550131/5749570,So it's byRef in regards to objects and byVal in regards to primitives? – Mox Jan 18 '17 at 11:40,2,3,,
,"@mox please read: Objects are not passed by reference, this is a ledgend: String a=new String(""unchanged""); – user1767316 Jan 25 '17 at 23:28",2,3,,
,"public void changeit(String changeit){changit = ""changed"";} changeIt(a); assert(a.equals(""unchanged"")); – user1767316 Jan 25 '17 at 23:35",2,3,,
,"This is yet another great example of the fallacy of the ""it is not pass by reference"" semantics argument. This answer says right in the bold, first sentence: ""only references are passed."" Either a reference is passed, or a reference is not passed. You just said yourself that a reference is passed. By saying ""it is not passed by reference since a reference is passed but..."" you are trying to make a point by mangling English. – Loduwijk Aug 2 '17 at 15:07",I,2,"Once again, our grouping is correct. Just the numbering is off. These particular group of comments are already integrated in the revised answer. So if I ignore the 'I' category, all of our annotations are in sync.",agree
,"@Aaron ""Pass by reference"" does not mean ""pass a value that is a member of a type that is called a 'reference' in Java"". The two uses of ""reference"" mean different things. – philipxy Sep 27 '17 at 8:36",I,2,,
,"@philipxy Because of some very arbitrary decision that has been made by a sub-set of the software community. What you describe is an opinion of how ""Pass by reference"" works, not a universally accepted definition. Even if you cite a few computer science books which agree with you, that only means that those authors share your opinion. English is English, and no matter how much the ""pass by reference definition purists"" want to argue the point they are merely arguing semantics about a non-universal opinion. Some of the answers here are nit-picky about the subjective definition of a nit. – Loduwijk Sep 27 '17 at 13:55",I,2,,
,"Quite confusing answer. The reason why you can't change a string object in a method, which is passed by reference, is that String objects are immutable by design and you can't do things like strParam.setChar ( i, newValue ). That said, strings, as anything else, are passed by value and, since String is a non-primitive type, that value is a reference to the thing that was created with new, and you can check this by using String.intern(). – zakmck Oct 30 '17 at 8:40",1,1,,
,"Instead, You can't change a string via param = ""another string"" (equivalent to new String ( ""another string"" ) ) because the reference value of param (which now points to ""another string"") cannot come back from the method's body. But that's true for any other object, the difference is that, when the class interface allows for it, you can do param.changeMe() and the top level object being referred will change because param is pointing at it, despite param's reference value itself (the addressed location, in C terms) cannot pop up back from the method. – zakmck Oct 30 '17 at 8:45",1,1,,
https://stackoverflow.com/a/322742/5749570,"Forgot to mention insertion costs. In a LinkedList, once you have the correct position, insertion costs O(1), while in an ArrayList it goes up to O(n) - all elements past the insertion point must be moved. – David Rodríguez - dribeas Nov 27 '08 at 7:20",I,1,It is already integrated in a subtle way. The present answer does mention that the insertion or add cost for LinkedList is O(1). ,"agree, but can we mark I,P,C in a separate column in addition to the cluster number"
,Regarding the use of Vector: There really is no need to fall back to Vector. The way to do this is with your preferred List implementation and a call to synchronizedList to give it a synchronized wrapper. See: java.sun.com/docs/books/tutorial/collections/implementations/… – Ryan Cox Nov 27 '08 at 12:19,4,5,,
,Also note that as of Java 6 there's no need to worry about losing performance with a thread-safe class. The JVM is smart enough to optimize those locks away from you if you don't need them. – Alex Beardsley Sep 8 '09 at 18:59,10,,,
,Linked list add is not always O(1) [or this should say addLast() is O(1)]. This is only true if done from within a ListIterator. The add methods in Java's LinkList implementation must search through the list if additions are not on the head or tail. So worst case this is O(n/2) (which really is O(n); but I wrote it this way as it searches forward or backward depending on the given index so is only over at most half the list). – Kevin Brock Mar 23 '10 at 0:56,7,,,
,"@Ken Brock That's add(int,E) vs add(E). – Tom Hawtin - tackline Dec 12 '10 at 21:20",7,,,
,"why LinkedList get is O(n), if you know the position it's O(1), isn't it? – dhblah Mar 11 '11 at 8:52",1,3,We have a lot of discrepancy here. I think the grouping and annotation I have are correct.,Ok to go with yours
,"No, for a LinkedList, get is still O(n) even if you know the position, because in order to get to that position, the underlying implementation has to walk the linked list's ""next"" pointers to get to that position's value. There is no such thing as random access. For position 2, walking the pointers might be cheap, but for position 1 million, not so cheap. The point is, it's proportional to the position, which means it's O(n). – Jonathan Tran Mar 11 '11 at 19:03",1,3,,
,"With an ArrayList, your memory is close together which can improve performance. – schmmd Apr 19 '11 at 22:00",1,,,
,@schmmd Then explain why memory is called Random-access Memory? – Kevin Apr 30 '11 at 12:27,1,4,,
,"@Kevin memory is random-access. But how do you know which spot in memory to read? For an array/ArrayList, you can calculate the address in memory by multiplying the element size times the position in the array, because they're stored contiguously. But for a LinkedList, you can't do that. Each element stores the address of the next. – Jonathan Tran May 4 '11 at 18:07",1,4,,
,"@Johnathan Tran Great comment but, my point was that it shouldn't be a difference if 'memory is close together'. – Kevin May 5 '11 at 6:44",1,4,,
,"@Kevin It may matter that memory is ""close together"". Hardware will cache contiguous blocks of memory (dynamic RAM) into faster static RAM in the L1 or L2 cache. In theory and most of the time practically, memory can be treated as random-access. But in reality, reading through memory sequentially will be slightly faster than in random order. For a performance-critical loop, this could matter. They call it ""spatial locality"" or locality of reference. – Jonathan Tran May 5 '11 at 20:25",1,4,,
,"This answer glossed over the worst aspect of LinkedList - significantly more allocations than an ArrayList. This can increase the constant time significantly compared to an ArrayList. Also, Vector is not really thread safe - it must still be safely published due to internal non-guarded state (one of the reasons Vector has been deprecated). – jsravn Dec 19 '11 at 21:01",3,,,
,"In order to get O(1) time for seeking, you have to call listIterator(0) and always use that for sequential (forwards or backwards) seeking. – yingted May 19 '12 at 14:36",1,,,
,"@JonathanTran you said removal from a linked list takes O(N) and then you say ""LinkedList allows for constant-time insertions or removals"" . isn't this contradictory ? – Geek Jul 17 '12 at 11:07",1,,,
,@Geek remove from position X is O(N) as the list must be traversed to reach the relevant position before doing the actual remove. Iterator.remove is O(1) because it makes use of the constant-time remove without having to traverse the list (i.e. removing the current element). – paulw1128 Aug 9 '12 at 12:52,1,,,
,"remove in ArrayList is O(1) if you remove from the end, it's O(n) only if you remove in the middle (so you can implement an efficient stack by using add, remove from the end) – Krzysztof Krasoń Nov 16 '12 at 9:38",1,,,
,Worth noting that contains() takes O(n) in both cases. – Giovanni Botta Apr 1 '13 at 15:42,9,,,
,"If one wishes to remove many items from an ArrayList on a single pass of an iterator, is the total time O(N) or O(N^2)? I know I'd implement it to be the former. – supercat Apr 3 '14 at 23:56",8,,,
,"It all really comes down to the size of the L2 cache. ArrayLists are faster then linked list as long as you are withing the size of the L2 cache. As soon as what you are storing exceeds the size of the L2 cache, it really does not mater that much, go with the linked list. – FlyingGuy Jan 20 '15 at 15:17",5,,,
,"I think that, similarly to ArrayList<E>#remove(int index) being O(n - index), you could also argue that LinkedList<E>#remove(int index) is in fact O(index + 1). To see why, consider that removing the first element in a LinkedList could only really be O(1). Who (dis)agrees? [Note that this doesn't mean it is wrong to say that LinkedList<E>#remove(int index) is O(n), because the order of magnitude of index is of course n]. – Matthias Feb 4 '15 at 21:29",5,,,
,Non locality of data hurts the LinkedList even in the case of iterating over the elements: david-soroko.blogspot.co.uk/2015/06/… – David Soroko Jun 24 '15 at 14:05,5,,,
,"Furthering the discussion of the performance of LinkedList.get, the documentation states that ""the list will be treversed from the end, when the position is beyond half way"", so ""get"" would be O(n/2). – rndStr Aug 30 '15 at 16:52",2,,,
,having read and I think understand this... I would think LinkedList would be preferred default as I personally thing using get is code smell. I rarely want/need it – xenoterracide Nov 1 '15 at 6:39,5,,,
,"There’s no such thing as O(n/2) or O(n/4). The big O notation tells you how an operation scales with larger n. and an operation needing n/2 steps scales exactly like an operation needing n steps, which is the reason why constant summands or factors are removed. O(n/2) and O(n/4) are both just O(n). LinkedList and ArrayList have different constant factors anyway, so it wouldn’t make sence to compare a O(n/2) of one with a O(n/4) of the other, both just denote linearly scaling operations. – Holger Jul 4 '16 at 9:57",2,2,,
,"@Andreas, use theta notation if you want to show that average is N/4, big O is not made for that – AdamSkywalker Jul 14 '16 at 8:51",2,,,
,"It's acceptable to add constants to Big-O/Big-Theta to emphasise an additional operation / explain a particular case. For example, when we talk about the complexity of reading from a hash table, you'll often see: O(1 + load factor). Yes, that 1 means nothing asymptotically, but it's useful to emphasise that there is a O(1) lookup followed by O(load factor) to follow any chains for collision hashes. Here, we're writing O(n/4) more to explain what ""average"" case is. Asymptotically, the factor makes no difference, but it's useful for briefly summarising what ""average"" means for the operation. – James Lawson Nov 27 '16 at 7:23",2,,,
,guys when i was going through vector's usage and differences i found that though vector synchronizes it is not thread safe. please refer this – Mani Dec 6 '16 at 7:20,3,,,
,"I think its important to mention: if your implementing something that is pure on the Stack (aka Deque) abstraction, requiring that the performance-critical portions of your work use only push and pop, then LinkedList gives you O(1) performance in compact memory without any amortization, which sounds pretty good to me. – Groostav Sep 14 '17 at 21:08",4,,,
,"While this is an excellent answer, it seems to me that what you really are saying is that you'd use LinkedList lists to build a large collection of varying size and then iterate over all the elements. Meanwhile, ArrayList lists are faster if you need to look up varying positions and not just iterate. (If you need to insert at random places a tree-like or map-like structure may be better so long as its ordered, like TreeMap) – Haakon Løtveit Feb 14 '18 at 11:37",12,,,
,"@Groostav LinkedList is all but “compact memory”. If you need a stack or deque, use ArrayDeque which gives you O(1) performance in truly compact memory. – Holger Apr 12 '18 at 7:28",4,,,
,"This is already covered somewhat above but to make it explicit, addLast is O(1) as well which is not obvious when discussing linked lists. – Ben Kushigian Aug 2 '18 at 22:22",11,,,
,What is meant by Iterator.remove() is O(1) for linked list? We still need to create the iterator and iterate over the list right? Shouldn't it be O(n) unless the element to be removed is at the end where the current pointer lies? – linuxNoob Sep 28 '18 at 15:47,6,,,
,"@linuxNoob Iterator.remove() can only operate on the linked list as it's being traversed, so it is always O(1). LinkedList.remove() would be O(n) unless it was the first item you were removing. – Bill K Dec 28 '18 at 18:20",6,,,
,"@BillK When you say operating on the linked list as its being traversed, it still means traversing through the list one element at a time right? Which means if it's not the current element then I'd have to traverse through the list (potentially unknown number of elements) before I can remove it? – linuxNoob Dec 29 '18 at 20:32",6,,,
,"@linuxNoob Yes. If you are doing an operation (let's say searching for a value) you must traverse the list be it linked or array. If it's a linked list then when you find your target, deleting it is O(1), if it's an array list deleting it is O(n). Moreover if you are scanning a list to delete, say, multiple entries with a certain trait then your operation becomes O(n) for a linked list and O(n^2) for an array list. I once ""Fixed"" an operation (Insertion sort) taking 6 hours down to seconds by JUST replacing an arraylist with a linked list. (then fixed it better with a sorted set) – Bill K Dec 29 '18 at 21:56",6,,,
,"@Bill K, why did you say that iterate over both linked list and array list cost constant time? Isn’t it O(n) since it is the cost for iterating over all the elements? – Eitanos30 Nov 12 '19 at 21:52",6,,,
,"@Eitanos30 Iterating over either list is not constant, it's O(n), however deleting a single element when you are in the middle of iterating over it is O(1) for a linked list and O(n) for an ArrayList. If you look at the entire operation of removing ""n"" elements from a list in a single pass, it's O(n) for a linked list and O(n^2) for an ArrayList – Bill K Nov 12 '19 at 23:43",6,,,
,"@Bill K, I understand, but you wrote in your answer the following sentence: ""Iterating over either kind of List is practically equally cheap. (Iterating over an ArrayList is technically faster, but unless you're doing something really performance-sensitive, you shouldn't worry about this -- they're both constants.)"". What did you mean when saying constant here? – Eitanos30 Nov 13 '19 at 13:39",6,,,
,"@Eitanos30 Sorry, not my answer. It's CW and I don't think I ever contributed to it except for a couple comments. Since it's CW I suggest you go in and edit it. – Bill K Nov 13 '19 at 17:02",6,,,
,"@Bill K, sorry how can i edit it? – Eitanos30 Nov 13 '19 at 18:55",6,,,
,"@Eitanos30 There should be a share/edit/flag link under the post. It looks like you have sufficient rep to edit a CW (I think the limit is 100, but this question is high activity so they might change it.). I think what he meant, by the way, is that the increase is linear (constant) as the list grows... but you are right that it's not completely clear. – Bill K Nov 14 '19 at 0:25",6,,,
,@Bikl K thanks. I will delete it – Eitanos30 Nov 14 '19 at 16:04,6,,,
https://stackoverflow.com/a/34658/5749570,"Useful if you don't know the API perhaps, but if you are having to test private methods in this manner there is something up with your design. As another poster says unit testing should test the class's contract: if the contract is too broad and instantiates too much of the system then the design should be addressed. – andygavin Jun 26 '09 at 14:23",1,1,,
,Very useful. Using this it is important to keep in mind that it would fail badly if tests were run post obfuscation. – Rick Minerich Feb 4 '10 at 1:11,4,5,,
,True... Anything Reflective will fail miserably after obfuscation. – Cem Catikkas Feb 4 '10 at 18:26,4,,,
,"The example code didn't work for me, but this made thigs clearer: java2s.com/Tutorial/Java/0125__Reflection/… – Rob Jul 1 '11 at 10:56",5,4,,
,"This is all great (I've been doing the same for a long time), but there is one glitch that I am trying to find the solution for. Imagine that u wanna test the exception outcome of the private method. Instead of the method invocation giving u an IllegalArgumentException, for example, you'll get null Class:java.lang.reflect.InvocationTargetException. Maybe there is a way of covering this, but I am not familiar with it. A colegue of mine proposed using powermock for it. – despot Aug 4 '11 at 11:56",9,,,
,Much better than using reflection directly would be to use some library for it such as Powermock. – Michael Piefel Oct 25 '11 at 7:22,2,2,,
,"Thank you ""Rob"" for the link. My test was failing at the getDeclaredMethod() call because I wasn't passing it the parameter arguments. – livefree75 Mar 11 '13 at 14:11",5,,,
,"@despot: According to the doc, you should be able to retrieve the original exception via getTargetException() or getCause(). – T-Bull Jun 23 '13 at 12:01",9,,,
,This is why Test Driven Design is helpful. It helps you figure out what needs to be exposed in order to validate behavior. – Thorbjørn Ravn Andersen Jul 18 '13 at 18:46,3,3,,
,"Here is an example for MyAdder.sum(int, int) --- MyAdder object = new MyAdder(); Method method = MyAdder.class.getDeclaredMethod(""sum"", new Class[] { Integer.TYPE, Integer.TYPE }); method.setAccessible(true); Object r = method.invoke(object, new Object[] { 1, 2 }); Assert.assertEquals(3l, ((Integer) r).longValue()); – Asim Ghaffar Sep 1 '13 at 10:59",10,,,
,shouldn't that be getClass().getDeclaredMethod() ? – JBoy Nov 29 '13 at 9:57,10,,,
,"Though this is the excepted answer, I would echo some other answers that say one should use a mocking library for this, like Powermock or JMockit. – Josef.B Aug 26 '15 at 17:28",2,,,
,"""you can't change private static final variables through reflection"" is not true - final fields can be changed via trick based on clearing Modifier.FINAL flag bit of the Field.modifiers field (unless cases where forbidden by security manager or primitive is inlined by compiler). – Tomáš Záluský Jan 26 '16 at 12:25",13,,,
,"Legacy or not, you shouldn't change visibility for testing purposes. +1 to Reflection in any case. – juanmf Mar 4 '16 at 13:10",8,,,
,For further details on accessing private methods refer link – gKaur Mar 9 '16 at 9:48,15,,,
,"if you are using ExpectedException, keep in mid that exception you might expect will be wrapped by a InvocationTargetException, so you should do something like : try { method.invoke(svc, request); } catch (InvocationTargetException e) { throw ((Exception)e.getCause()); } – Legna Jun 3 '16 at 15:30",16,,,
,"It's sad to see such a terribly wrong answer like this get so many upvotes. One should not reduce the accessibility of methods or fields, neither access them through Reflection. I have written literally thousands of JUnit/TestNG over many years, and I never had to resort to testing private methods directly. Occasionally, I had to read a private field (through Reflection), but that was about it. I guess some developers (many, apparently) are too lazy to write proper tests (which only call public methods), and prefer to cheat by using Reflection. – Rogério Jun 3 '16 at 16:02",7,,,
,These should really be wrapped in helper methods so you don't have to repeat that every time (and naturally... there are several frameworks that do that already). Also; you can most definitely set private static final variables through reflection. Whether you should or not is another matter. – BeUndead Jul 20 '16 at 14:20,17,,,
,"No I don't think appealing to TDD is a valid criticism here. Why should a unit test intended to cover a private method be excluded from that encapsulation? If TDD is supposed to tell you to make that method public, you're not producing quality code here, instead you're appeasing a logical flaw in the language itself. – Jonathan Neufeld Sep 1 '16 at 17:10",3,,Can you please review these? I think they belong to group 3 too.,Fine
,"Few of these replies and comments appear to have picked on this: the question could have been about approaches to legacy code, except that the OP has included the TDD tag. I don't have a huge amount of TDD experience yet, but if you study the ""seminal"" Growing Obj-Oriented Software Guided by Tests, I think it becomes clear: private methods should result from refactoring and only from refactoring. By definition refactoring means that the code has passed the relevant tests. So I think the question is why this TDD tag was included. – mike rodent Oct 23 '16 at 19:43",3,,,
,"testing private methods should be done from public members, private members that are not invoked directly or indirectly by public members have no value. Unit testing and TDD is not about directly testing every method written, it is about testing the behavior of the written code compared to the requirements for writing that code. – Espen Oct 27 '16 at 23:55",3,,,
,"Most purists fail to acknowledge that there are legitimate cases for this. My case: I am writing a plug-in for a (closed source) commercial product. Writing regular unit tests for public methods involves mocking large parts of that product, and there are limits to this approach. Being able to test my private methods in the manner described above ensures that 95% of my code has been tested before deployment. – mvreijn Dec 1 '16 at 11:17",6,,,
,"In all the answers and comments that poo-poo testing private methods, no one gave a good reason to conflate modularity and access. I like to break my code into small pieces, where each of these pieces do one thing. This aids readability and maintainability. Just because something makes sense as its own chunk of code doesn't mean I have to expose it as part of the contract for the class. Am I missing something? – Max Heiber Apr 15 '17 at 0:55",18,,,
,This guys provides a more in-depth explanation youtu.be/agnblS47F18?t=24m23s. Check at 24:23 for a solution similar to the example above. – Daniel Oct 10 '17 at 16:59,12,,,
,"One problem with testing private methods with reflection is that if you delete your method, you won't see it in the tests at compile time. – ACV Nov 30 '17 at 13:00",11,,,
,"PowerMock Whitebox reads private fields with reflection. So I think I have my answer: test private internal states with PowerMock, or just reflection without the overhead of introducing another independency, and private methods: don't test. – WesternGun May 12 '19 at 14:23",2,,,
,"""if you are having to test private methods in this manner there is something up with your design."" Well I'm TDDing an Android app, so... yeah. – Phlip Dec 3 '19 at 16:48",19,,,
,@RickMinerich - Beginner here. what is obfuscation ? – MasterJoe2 Mar 10 at 17:01,4,,,
,@CemCatikkas - I am not asking for any guarantees here. Is Manifold's Jailbreak library reliable enough to be considered for use in commercial software products ? I don't know if it is just an obscure project which is likely to be abandoned in the near future. – MasterJoe2 Mar 10 at 17:08,20,,,
https://stackoverflow.com/a/20658351/5749570,They why the output shows different values every time i run it ? I am running on the same machine – Aman Arora Dec 18 '13 at 12:36,1,1,,
,basicly yes. a computer is a working machine and has more or less stuff to do – Philipp Sander Dec 18 '13 at 12:38,1,1,,
,"in the catch(Error e), call other functions, If stack is full, how it is working? – Aman Arora Dec 18 '13 at 12:46",3,3,,
,check the edit please. – Aman Arora Dec 18 '13 at 12:51,4,4,,
,Please check the second code . Its not terminating. How it id getting stack to print ? – Aman Arora Dec 18 '13 at 13:10,2,2,,
,"it prints the stack, because the programm is still running (in an unstable condition). it is not terminating because calling b() in b() is an endless loop ;) – Philipp Sander Dec 18 '13 at 13:13",2,2,,
https://stackoverflow.com/a/42382347/5749570,I think the poster doesn't want the file packed inside a jar and wants it in a directory where it can be tweaked without unzipping & zipping again – lance-java Feb 22 '17 at 14:09,1,1,,
,I would tweak my answer if OP confirms that's what he needs. – VHS Feb 22 '17 at 15:31,1,4,Here VHS is replying to the above comment. Shouldn't they be in the same group?,"VHS knows, so I defer to him"
,"@VHS - your answer is closest to what i a want, in particular, Ans 2.2. Yes lance, i want it externally. So i specified the entry in build.gradle as you indicated, and i see now that when i do a gradle build, it creates a /my_app1/build/resources/main folder. I am still not able to read this with the code i have above however. the error is: ""java.io.FileNotFoundException: \config.dev.properties (The system cannot find the path specified)"" – mike01010 Feb 22 '17 at 16:16",2,2,,
,"@VHS, I am debugging this through eclipse after building it. Wondering if i have to let eclipse know where the resource files are for a given project? – mike01010 Feb 22 '17 at 16:33",3,3,My mistake on this one. I have updated this group to match yours.,ok
,"@mike01010, if you are debugging it through Eclipse, the relative paths are all relative to the project folder - the folder which has thesrc folder. So if your build folder is at the same level as src, you can use build/resources/main/config.dev.properties. – VHS Feb 22 '17 at 16:43",3,3,,
,"@VHS, that works, but i don't think that code is deployable, since there won't be a 'build' folder when deployed. would be nice if the relative path works for both debugging in eclipse as well as runtime – mike01010 Feb 22 '17 at 19:12",3,3,,
,"@mike01010, I understand your concern. That's why people recommend reading files from classpath instead of from a relative path. If a resource file is on classpath, you don't need to specify any path regardless of whether the run time is within eclipse or outside. – VHS Feb 22 '17 at 19:29",3,3,,
,"@VHS can you point me how to do that. i actually did try renaming the config folder to 'resources' and using ClassLoader.class.getResourceAsStream, to no avail. Also, does this method allow us to change config entries without having to re-build and re-deploy? – mike01010 Feb 22 '17 at 19:38",3,3,,
,See if this helps. – VHS Feb 22 '17 at 19:53,3,3,,
,"@VHS thanks, seems like that will compile the config into the jar. not an option for us. We'd like to change values in the config at run-time. will try to figure out best way to do this – mike01010 Feb 22 '17 at 22:10",3,3,,
